id,question,option_a,option_b,option_c,correct,category,aspect,mode,difficulty,created_at,last_used_at,use_count,hash
25,Kdo vynalezl teorii relativity?,Albert Einstein,Isaac Newton,Galileo Galilei,0,,,adult,normal,2025-12-28 07:50:12,,0,qfa9kk
26,Kdo vyhrál první závod Formule 1?,Juan Manuel Fangio,Giuseppe Farina,Louis Chiron,1,,,adult,normal,2025-12-28 07:50:12,,0,u74wxh
27,Které dva hudebníci spolupracovali na albu 'Watch the Throne'?,Drake a Lil Wayne,Kanye West a Jay-Z,Eminem a Kendrick Lamar,1,,,adult,normal,2025-12-28 07:50:12,,0,fap55n
28,Kdo objevil princip fotosyntézy?,Jan Baptist van Helmont,Jan Ingenhousz,Theophrastus,1,,,adult,normal,2025-12-28 07:50:12,,0,-1y1cz4
29,Který obraz je považován za jedno z nejvýznamnějších děl Mona Lisy?,The Last Supper,The Scream,La Gioconda,2,,,adult,normal,2025-12-28 07:50:12,,0,pny8e4
30,Kdo byl prvním prezidentem Spojených států?,George Washington,Thomas Jefferson,Abraham Lincoln,0,,,adult,normal,2025-12-28 07:50:12,,0,gtt3wb
32,Která vesmírná agentura jako první úspěšně přistála na Měsíci?,Roskosmos,NASA,ESA,1,,,adult,normal,2025-12-28 07:50:12,,0,stf5ms
33,Které muzeum je nejnavštěvovanější na světě?,Louvre,Metropolitan Museum of Art,Britské muzeum,0,,,adult,normal,2025-12-28 07:50:12,,0,9bpn4n
34,Která ingredience je základním složením sushi?,Ryba,Zelenina,Rýže,2,,,adult,normal,2025-12-28 07:50:12,,0,-4g6ayw
35,Který tým má nejvíce fanoušků v NFL?,Dallas Cowboys,New England Patriots,Green Bay Packers,0,,,adult,normal,2025-12-28 07:50:12,,0,licym2
36,Kdo získal Nobelovu cenu za literaturu v roce 2019?,Peter Handke,Olga Tokarczuk,Margaret Atwood,0,,,adult,normal,2025-12-28 07:50:12,,0,-7k1jew
37,Kdo založil společnost Amazon?,Jeff Bezos,Bill Gates,Mark Zuckerberg,0,,,adult,normal,2025-12-28 07:51:29,,0,-xks1hk
38,Jak se jmenuje nejvyšší hora v Alpách?,Matterhorn,Mont Blanc,Eiger,1,,,adult,normal,2025-12-28 07:51:29,,0,-943zwn
39,Na které burze se obchoduje s akciemi společnosti Apple?,NASDAQ,New York Stock Exchange,London Stock Exchange,0,,,adult,normal,2025-12-28 07:51:29,,0,eh34g2
41,Kdo vytvořil sochu 'David'?,Leonardo da Vinci,Raphael,Michelangelo,2,,,adult,normal,2025-12-28 07:51:29,,0,-mqcex8
42,Kdo vyhrál mistrovství světa Formule 1 v roce 2019?,Sebastian Vettel,Lewis Hamilton,Charles Leclerc,1,,,adult,normal,2025-12-28 07:51:29,,0,oonndy
43,Kdo vedl bitvu o Stalingrad?,Vasilij Čujkov,Georgij Žukov,Erwin Rommel,0,,,adult,normal,2025-12-28 07:51:29,,0,psbw2t
44,Jaký hudební nástroj hrál Jimi Hendrix?,Kytara,Bicí,Piano,0,,,adult,normal,2025-12-28 07:52:52,,0,w2hi4c
47,Kdo navrhl budovu Guggenheim Museum?,Frank Lloyd Wright,Le Corbusier,Frank Gehry,0,,,adult,normal,2025-12-28 07:52:52,,0,-3py2u0
48,Kdo napsal knihu Dobrý voják Švejk?,Jaroslav Hašek,Franz Kafka,Karel Čapek,0,,,adult,normal,2025-12-28 07:52:52,,0,p7hdbr
49,Kolik michelinských hvězd má restaurace Noma?,3,2,1,0,,,adult,normal,2025-12-28 07:52:52,,0,8ifzkf
50,Kdo byl prvním císařem Číny?,Čchin Š'-chuang,Mao Ce-tung,Sunjatsen,0,,,adult,normal,2025-12-28 07:52:52,,0,5u85vv
51,Jaký je nejvyšší vrchol pohoří Atlas?,Mulhacén,Túbkal,Aneto,1,,,adult,normal,2025-12-28 07:52:52,,0,-kagucn
52,Jaké je hlavní město Švédska?,Kodaň,Stockholm,Helsinki,1,,,adult,normal,2025-12-28 07:52:52,,0,-omt71g
54,Kdo získal Nobelovu cenu za fyziku v roce 1921?,Marie Curie,Niels Bohr,Albert Einstein,2,,,adult,normal,2025-12-28 07:52:52,,0,lxsygs
55,Kdo vynalezl první praktickou mikrovlnnou troubu?,Percy Spencer,Guglielmo Marconi,Nikola Tesla,0,,,adult,normal,2025-12-28 07:52:52,,0,-lk6rkh
56,Který basketbalový tým má nejvíce šampionátů NBA?,Los Angeles Lakers,Boston Celtics,Chicago Bulls,1,,,adult,normal,2025-12-28 07:53:56,,0,-ckd2ru
57,Které zvíře je považováno za největší na Zemi?,Velký bílý žralok,Modrý velryb,Africký slon,1,,,adult,normal,2025-12-28 07:53:56,,0,-y8zwby
59,Kdo drží rekord v počtu vítězství v Grand Prix?,Michael Schumacher,Juan Manuel Fangio,Lewis Hamilton,2,,,adult,normal,2025-12-28 07:53:56,,0,-3eo12v
60,Které nakladatelství vydalo nejvíce bestsellerů?,Penguin Random House,Hachette,HarperCollins,0,,,adult,normal,2025-12-28 07:53:56,,0,5nepld
61,Která společnost zkrachovala v roce 2008?,Lehman Brothers,Goldman Sachs,Morgan Stanley,0,,,adult,normal,2025-12-28 07:55:21,,0,z14xft
62,Který národní fotbalový tým vyhrál nejvíce titulů mistra světa?,Brazílie,Německo,Itálie,0,,,adult,normal,2025-12-28 07:55:21,,0,9rm6h5
63,Který autor napsal knihu o Gulliverovi?,Charles Dickens,Jonathan Swift,Jane Austen,1,,,adult,normal,2025-12-28 07:55:21,,0,-6qmby5
64,Která herečka hrála roli Scarlet O'Hary?,Elizabeth Taylor,Audrey Hepburn,Vivien Leigh,2,,,adult,normal,2025-12-28 07:55:21,,0,n7ugyo
65,Jaký je název nejběžnějšího druhu včel?,Sršní včela,Čmelák,Medonosná včela,2,,,adult,normal,2025-12-28 07:55:21,,0,-r816qp
66,Která země sdílí nejdelší hranici se Spojenými státy?,Mexiko,Brazílie,Kanada,2,,,adult,normal,2025-12-28 07:55:21,,0,-82ktkq
67,"Který císař byl prvním, kdo sjednotil Čínu?",Mao Ce-tung,Čchin Š' Chuang-ti,Sunjatsen,1,,,adult,normal,2025-12-28 07:55:21,,0,-ec1z71
68,Který vědec objevil zákon gravitace?,Albert Einstein,Isaac Newton,Galileo Galilei,1,,,adult,normal,2025-12-28 07:55:21,,0,-qvxk1a
69,Odkud pochází italská kuchyně?,Řecko,Španělsko,Itálie,2,,,adult,normal,2025-12-28 07:55:21,,0,fbixln
70,Která firma koupila firmu WhatsApp?,Facebook,Google,Microsoft,0,,,adult,normal,2025-12-28 07:56:42,,0,-w1fhje
71,Co byl příčinou nehody raketoplánu Challenger?,Selhání motoru,Porucha tepelného štítu,Selhání O-kroužku,2,,,adult,normal,2025-12-28 07:56:42,,0,wa5dt0
74,Který tým drží rekord v počtu titulů v NBA?,Los Angeles Lakers,Boston Celtics,Chicago Bulls,1,,,adult,normal,2025-12-28 07:56:42,,0,tzi3qe
75,Kdo napsal knihu To Kill a Mockingbird?,Jane Austen,F. Scott Fitzgerald,Harper Lee,2,,,adult,normal,2025-12-28 07:56:42,,0,-d2oabb
76,V jaké roce vypukla francouzská revoluce?,1790,1788,1789,2,,,adult,normal,2025-12-28 07:56:42,,0,-trtht3
77,Jaký dopad měla hospodářská krize v roce 2008 na dnešní ekonomiku?,Velmi velký,Žádný,Velmi malý,0,,,adult,normal,2025-12-28 07:56:42,,0,z8yabj
78,"Kdo je slavný zeměpisec, který objevil cestu do Asie?",Ferdinand Magellan,Vasco da Gama,Christopher Columbus,1,,,adult,normal,2025-12-28 07:56:42,,0,-vih2hz
79,"Kdo je slavný šéfkuchař, který má nejvíce michelinských hvězd?",Joël Robuchon,Gordon Ramsay,Thomas Keller,0,,,adult,normal,2025-12-28 07:56:42,,0,70vg42
80,Kdo získal Oscara za režii filmu Parasite?,Martin Scorsese,Quentin Tarantino,Bong Joon-ho,2,,,adult,normal,2025-12-28 07:56:42,,0,grdkww
81,Jaké je praktické použití technologie blockchain?,Umělé inteligence,Kryptoměny,Sociální sítě,1,,,adult,normal,2025-12-28 07:56:42,,0,e3c1di
82,Která organizace se zabývá ochranou ohrožených zvířat?,UNICEF,Greenpeace,WWF,2,,,adult,normal,2025-12-28 07:56:42,,0,wle0fc
83,Kdy byla založena skupina The Beatles?,1960,1955,1950,0,,,adult,normal,2025-12-28 07:57:56,,0,-1oyhe8
84,Kdo vyhrál první mistrovství světa ve fotbale?,Uruguay,Brazílie,Argentina,0,,,adult,normal,2025-12-28 07:57:56,,0,-hpedwk
85,"Jak se jmenuje kapela, která zpívá písničku Stairway to Heaven?",Queen,Led Zeppelin,Aerosmith,1,,,adult,normal,2025-12-28 07:57:56,,0,y1x2p8
86,Ve kterém městě se nachází slavná socha Christa?,Santiago,Lima,Rio de Janeiro,2,,,adult,normal,2025-12-28 07:57:56,,0,-inyj3l
87,Kdo drží rekord v počtu vítězství v rally?,Sébastien Loeb,Colin McRae,Walter Röhrl,0,,,adult,normal,2025-12-28 07:57:56,,0,-986et6
88,Kdo vynalezl první prakticky použitelný telefon?,Thomas Edison,Alexander Graham Bell,Guglielmo Marconi,1,,,adult,normal,2025-12-28 07:57:56,,0,-a4dz94
89,Jaká značka vyrobila první masově vyráběný automobil?,Ford,General Motors,Toyota,0,,,adult,normal,2025-12-28 07:57:56,,0,-dwx5mp
90,Kde se nachází slavné muzeum Louvre?,Paříž,Londýn,Řím,0,,,adult,normal,2025-12-28 07:57:56,,0,-doar4c
91,Kdo napsal slavný román Pán prstenů?,J.K. Rowling,George R.R. Martin,J.R.R. Tolkien,2,,,adult,normal,2025-12-28 07:57:56,,0,-z80z11
92,Jaký je největší mořský živočich?,Velký bílý žralok,Kosatka,Modrý velryb,2,,,adult,normal,2025-12-28 07:57:56,,0,-stbwvj
93,Jaký je nejznámější architektonický skvost v Barceloně?,Park Güell,Casa Batlló,Sagrada Família,2,,,adult,normal,2025-12-28 07:57:56,,0,patyco
94,Kdo vedl Sovětský svaz během druhé světové války?,Vladimir Lenin,Josef Stalin,Mikhail Gorbačov,1,,,adult,normal,2025-12-28 07:59:17,,0,l02r26
95,Ve kterém městě se nachází slavná galerie Uffizi?,Řím,Benátky,Florence,2,,,adult,normal,2025-12-28 07:59:17,,0,-912o2s
96,Kdo provedl první úspěšný experiment s letadlem?,Leonardo da Vinci,Orville Wright,Octave Chanute,1,,,adult,normal,2025-12-28 07:59:17,,0,myvicg
98,Kde se nachází největší solární elektrárna?,USA,Čína, Indie,1,,,adult,normal,2025-12-28 07:59:17,,0,dpcahf
99,Kdo napsal knihu 'To Kill a Mockingbird'?,F. Scott Fitzgerald,Harper Lee,Jane Austen,1,,,adult,normal,2025-12-28 07:59:17,,0,-h2kzeb
100,Které jídlo je nejznámější v Japonsku?,Ramen,Udon,Sushi,2,,,adult,normal,2025-12-28 07:59:17,,0,-c3ihrt
101,Který hudební žánr vznikl v 50. letech?,Rock and roll,Jazz,Hip hop,0,,,adult,normal,2025-12-28 07:59:17,,0,-4wiols
102,Který pták je nejrychlejší?,Sokol,Orlovec,Jestřáb,0,,,adult,normal,2025-12-28 07:59:17,,0,xzirzt
103,Kdo hrál hlavního hrdinu ve filmu 'Forrest Gump'?,Tom Hanks,Leonardo DiCaprio,Johnny Depp,0,,,adult,normal,2025-12-28 07:59:17,,0,-6442sm
104,Kdo drží rekord v počtu vyhraných závodů F1?,Michael Schumacher,Lewis Hamilton,Sebastian Vettel,1,,,adult,normal,2025-12-28 08:00:35,,0,zcse46
105,Jaká společnost koupila firmu WhatsApp?,Microsoft,Google,Facebook,2,,,adult,normal,2025-12-28 08:00:35,,0,dnsldr
108,Která řeka je nejdelší v Jižní Americe?,Paraná,Amazonka,São Francisco,1,,,adult,normal,2025-12-28 08:00:35,,0,-ez2l8r
109,Který tým vyhrál nejvíce Super Bowlů?,Dallas Cowboys,New England Patriots,Pittsburgh Steelers,1,,,adult,normal,2025-12-28 08:00:35,,0,d19an5
110,Kdo měl slavný souboj s Ayrtonem Sennou?,Alain Prost,Nigel Mansell,Michael Schumacher,0,,,adult,normal,2025-12-28 08:00:35,,0,-vf0rqk
111,Která píseň je nejznámější od skupiny Queen?,We Will Rock You,Another One Bites the Dust,Bohemian Rhapsody,2,,,adult,normal,2025-12-28 08:00:35,,0,-46ynj4
112,Které pravidlo bylo zavedeno pro zvýšení bezpečnosti v F1?,DRS,KERS,Halo,2,,,adult,normal,2025-12-28 08:00:35,,0,-mpfzo7
113,Kdo vyhrál první závod F1?,Giuseppe Farina,Juan Manuel Fangio, Alberto Ascari,0,,,adult,normal,2025-12-28 08:00:35,,0,3c78i4
114,Kdo byl nejznámějším padělatelem umění?,Elmyr de Hory, Shaun Greenhalgh,Han van Meegeren,2,,,adult,normal,2025-12-28 08:00:35,,0,jsj5l3
115,Který hudební album má rekordní prodejnost?,Thriller,Back in Black,Dark Side of the Moon,0,,,adult,normal,2025-12-28 08:00:35,,0,aw2dqv
116,Kdo jako první člověk vyhrál Nobelovu cenu za fyziku?,Albert Einstein,Marie Curie,Wilhelm Conrad Röntgen,2,,,adult,normal,2025-12-28 08:01:51,,0,h0jqs3
117,Kdo byl prvním prezidentem České republiky?,Miloš Zeman,Václav Klaus,Václav Havel,2,,,adult,normal,2025-12-28 08:01:51,,0,-n2lecw
119,Jaká je největší ekonomika v Evropě?,Francie,Německo,Itálie,1,,,adult,normal,2025-12-28 08:01:51,,0,8fn3ug
120,Kde se nachází slavné muzeum moderního umění?,Paříž,New York,Londýn,1,,,adult,normal,2025-12-28 08:01:51,,0,-5bez5m
121,Kdo napsal slavnou knihu 'Pán prstenů'?,J.R.R. Tolkien,J.K. Rowling,George R.R. Martin,0,,,adult,normal,2025-12-28 08:01:51,,0,-6wbr8y
122,Který tým vyhrál mistrovství světa v roce 2018?,Německo,Španělsko,Francie,2,,,adult,normal,2025-12-28 08:01:51,,0,hbpq0r
123,Jak se jmenuje nejúspěšnější tým v historii Formule 1?,Mercedes,Red Bull,Ferrari,2,,,adult,normal,2025-12-28 08:01:51,,0,-5pyzrx
124,"Kdo byl prvním člověkem, který vzlétl do vesmíru?",Alan Shepard,Jurij Gagarin,Alexej Leonov,1,,,adult,normal,2025-12-28 08:01:51,,0,8p68t0
126,Jaký je název symbiotického vztahu mezi korálem a řasami?,Komensalismus,Parazitismus,Mutualismus,2,,,adult,normal,2025-12-28 08:01:51,,0,-jynq9y
127,Jaký žánr hudby se vyvinul v 50. letech?,Jazz,Klasika,Rock and Roll,2,,,adult,normal,2025-12-28 08:03:07,,0,-xkt6py
128,Kdo vydal album 'Thriller'?,Prince,Elvis Presley,Michael Jackson,2,,,adult,normal,2025-12-28 08:03:07,,0,kx5te
129,Kdo režíroval film 'Pulp Fiction'?,Martin Scorsese,Francis Ford Coppola,Quentin Tarantino,2,,,adult,normal,2025-12-28 08:03:07,,0,-v9vcz9
130,Kdo ukradl 'Mona Lisu'?,Leonardo da Vinci,Vincenzo Peruggia,Pablo Picasso,1,,,adult,normal,2025-12-28 08:03:07,,0,-gxkt0w
131,Kdo objevil Ameriku?,Kryštof Kolumbus,Vasco da Gama,Ferdinand Magellan,0,,,adult,normal,2025-12-28 08:03:07,,0,-d4wsod
132,Kdo namaloval 'Stvoření Adama'?,Leonardo da Vinci,Rafael,Michelangelo,2,,,adult,normal,2025-12-28 08:03:07,,0,-3cgwok
133,Kdo vytvořil aukční rekord s obrazem 'Salvator Mundi'?,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh,1,,,adult,normal,2025-12-28 08:03:07,,0,9b44sm
134,Jaká firma vyrobila první iPhone?,Samsung,Google,Apple,2,,,adult,normal,2025-12-28 08:03:07,,0,-tz7gzo
135,Který rok je spojen s pádem Berlínské zdi?,1985,1989,1991,1,,,adult,normal,2025-12-28 08:04:23,,0,1xlnck
136,Jaký startup založil Mark Zuckerberg?,Twitter,Instagram,Facebook,2,,,adult,normal,2025-12-28 08:04:23,,0,k78ih4
137,Které město je spojeno se starověkou civilizací Mayů?,Chichén Itzá,Mexiko,Tikal,0,,,adult,normal,2025-12-28 08:04:23,,0,rcr6zb
139,Který hudební žánr se vyvinul v 50. letech?,Rock and roll,Jazz,Blues,0,,,adult,normal,2025-12-28 08:04:23,2025-12-29 19:34:58,1,srv1wu
140,Který autor získal Nobelovu cenu za literaturu v roce 2020?,Olga Tokarczuk,Peter Handke,Louise Glück,2,,,adult,normal,2025-12-28 08:04:23,,0,-k9rt7r
141,Který jazyk je nejvíce mluvený na světě?,Angličtina,Španělština,Mandarínština,2,,,adult,normal,2025-12-28 08:04:23,,0,-771tz5
142,Který umělecký směr se vyvinul v 19. století?,Kubismus,Impresionismus,Surrealismus,1,,,adult,normal,2025-12-28 08:04:23,,0,s8wu2a
144,Kdo vynalezl parní stroj?,Nikola Tesla,Leonardo da Vinci,James Watt,2,,,adult,normal,2025-12-28 08:05:49,,0,fmz2cf
146,Kdo je legendární hráč basketbalového týmu Chicago Bulls?,Michael Jordan,Kobe Bryant,LeBron James,0,,,adult,normal,2025-12-28 08:05:49,,0,lppllg
147,Kam přestoupil Cristiano Ronaldo v roce 2018?,Juventus,Paris Saint-Germain,Manchester City,0,,,adult,normal,2025-12-28 08:05:49,,0,amsspi
148,Kdo napsal slavný citát 'To be or not to be',Jane Austen,Charles Dickens,William Shakespeare,2,,,adult,normal,2025-12-28 08:05:49,,0,6dway1
150,Který most spojuje Evropu a Asii?,Eiffelův most,Bosporský most,Tower Bridge,1,,,adult,normal,2025-12-28 08:05:49,,0,-hd8kkz
151,Kdo vedl sovětský vesmírný program?,Nikita Chruščov,Leonid Brežněv,Sergej Koroljov,2,,,adult,normal,2025-12-28 08:05:49,,0,-xjebbd
152,Kdo vyhrál cenu Grammy za album roku 2020?,Taylor Swift,Kendrick Lamar,Billie Eilish,2,,,adult,normal,2025-12-28 08:05:49,,0,vbiq9x
153,Kde se natáčel film 'The Lord of the Rings'?,Austrálie,Velká Británie,Nový Zéland,2,,,adult,normal,2025-12-28 08:05:49,,0,iyv0ld
154,Který ostrov je největší na světě?,Grónsko,Nová Guinea,Borneo,0,,,adult,normal,2025-12-28 08:05:49,,0,bry9f3
155,Která tragédie se stala v roce 1912?,Zkáza Pompejí,Potopení Titanicu,Velký požár Londýna,1,,,adult,normal,2025-12-28 08:05:49,,0,g73zpk
156,Který mořský živočich je největším na světě?,Kosatka,Hřebenatka,Velrýba,2,,,adult,normal,2025-12-28 08:05:49,,0,-9ce0zw
157,Který umělecký směr je spojen s tvorbou Picassa?,Kubismus,Impresionismus,Surrealismus,0,,,adult,normal,2025-12-28 08:12:00,,0,-5ud02v
158,Jaký nápoj je známý jako 'černé zlato'?,Káva,Čaj,Horchata,0,,,adult,normal,2025-12-28 08:12:00,,0,-12z0vr
159,Kdy byla založena newyorská burza?,1790,1820,1890,0,,,adult,normal,2025-12-28 08:12:00,,0,gnfj7i
160,Z které země pochází sushi?,Čína,Japonsko,Korea,1,,,adult,normal,2025-12-28 08:12:00,,0,-ijwwcp
161,Jaký drink je často spojován s Jamesem Bondem?,Old Fashioned,Mojito,Martini,2,,,adult,normal,2025-12-28 08:12:00,,0,gs5kgt
162,Který tým drží rekord v počtu vyhraných titulů v NBA?,Los Angeles Lakers,Boston Celtics,Chicago Bulls,1,,,adult,normal,2025-12-28 08:12:00,,0,-vnzcuq
164,Kdo byl posledním císařem Římské říše?,Romulus Augustus,Augustus,Constantin,0,,,adult,normal,2025-12-28 08:12:00,,0,-tgkjxg
165,V jaký rok se konal první mistrovství světa F1?,1950,1947,1955,0,,,adult,normal,2025-12-28 08:13:19,,0,-s7scxm
166,Kdo je nejdražší fotbalový přestup?,Neymar Jr.,Cristiano Ronaldo,Lionel Messi,0,,,adult,normal,2025-12-28 08:13:19,,0,545tzl
167,Kdo objevil penicilin?,Robert Koch,Louis Pasteur,Alexander Fleming,2,,,adult,normal,2025-12-28 08:13:19,,0,-ogocck
168,"Jaký je název literárního žánru, který zahrnuje sci-fi a fantasy?",Romantika,Detektivka,Spekulativní fikce,2,,,adult,normal,2025-12-28 08:13:19,,0,-b20m4z
170,Kdo jako první vyhrál fotbalový mistrovství světa?,Brazílie,Uruguay,Argentina,1,,,adult,normal,2025-12-28 08:14:41,,0,bqn8cl
171,Jaké jídlo je známé pro svou roli ve filmu Pulp Fiction?,Big Kahuna Burger,McDonald's,Burger King,0,,,adult,normal,2025-12-28 08:14:41,,0,-z8sz7y
172,Kdo hrál roli Lukea Skywalkera ve filmové sérii Star Wars?,Harrison Ford,Carrie Fisher,Mark Hamill,2,,,adult,normal,2025-12-28 08:14:41,,0,hqjarq
174,Kdo formuloval teorii o evoluci pomocí přírodního výběru?,Charles Darwin,Gregor Mendel,Jean-Baptiste Lamarck,0,,,adult,normal,2025-12-28 08:14:41,,0,-6kea6r
175,Jaký stadion je známý pro svou velikost a umístění v Rio de Janeiro?,Wembley,Camp Nou,Maracanã,2,,,adult,normal,2025-12-28 08:14:41,,0,-9x2tl3
176,Jaký fotbalový klub je známý pro své úspěchy v evropských pohárech?,Barcelona,Manchester United,Real Madrid,2,,,adult,normal,2025-12-28 08:14:41,,0,2nw318
177,Kdo vytvořil sochu Davida?,Leonardo da Vinci,Raffael,Michelangelo,2,,,adult,normal,2025-12-28 08:14:41,,0,kwzjbz
178,Jaká hora je nejvyšší v Asii?,K2,Kangchenjunga,Mount Everest,2,,,adult,normal,2025-12-28 08:14:41,2025-12-29 18:59:23,1,-euimgs
179,Jaký šampionát Formule 1 se konal v roce 1950?,Šampionát Evropy,Grand Prix,Mistrovství světa F1,2,,,adult,normal,2025-12-28 08:14:41,,0,ifaotw
180,Který národní tým vyhrál nejvíce titulů v kopané?,Brazílie,Německo,Itálie,0,,,adult,normal,2025-12-28 08:16:05,,0,-nog6no
181,Kdo vyhrál první vesmírný závod?,Kanada,USA,SSSR,2,,,adult,normal,2025-12-28 08:16:05,,0,3f1gur
183,Které klasické dílo napsal Jane Austen?,Jasné mýdlo,Pýcha a předsudek,Emma,1,,,adult,normal,2025-12-28 08:16:05,,0,-cre7ok
185,Kdo napsal báseň 'Sonet 18'?,John Keats,William Shakespeare,Percy Bysshe Shelley,1,,,adult,normal,2025-12-28 08:16:05,,0,ybebf8
186,Kdo zpíval píseň 'Respect'?,Aretha Franklin,Tina Turner,Janis Joplin,0,,,adult,normal,2025-12-28 08:16:05,,0,hjxdw3
187,Kdo hrál roli Lukea Skywalkera?,Harrison Ford,Carrie Fisher,Mark Hamill,2,,,adult,normal,2025-12-28 08:16:05,,0,-ka5mze
188,V kterém roce skončila druhá světová válka?,1944,1945,1946,1,,,adult,normal,2025-12-28 08:16:05,,0,-uhvlaw
189,Kdo je autorem famous obrazu 'Stvoření Adama'?,Leonardo Da Vinci,Michelangelo,Rafael,1,,,adult,normal,2025-12-28 08:17:23,,0,-gyo6r3
192,Kdo napsal bestseller 'Hra o trůny'?,George R.R. Martin,J.K. Rowling,Stephen King,0,,,adult,normal,2025-12-28 08:17:23,,0,-vge4ma
193,Kdo vyhrál mistrovství světa formule 1 v roce 1996?,Damon Hill,Michael Schumacher,Jacques Villeneuve,0,,,adult,normal,2025-12-28 08:17:23,2025-12-28 23:30:28,1,gkxxwg
194,Která země má největší ekonomiku?,USA,Čína,Japonsko,0,,,adult,normal,2025-12-28 08:17:23,,0,-r5lvmu
195,Kdo je autorem literární postavy Sherlocka Holmese?,Agatha Christie,Arthur Conan Doyle,J.K. Rowling,1,,,adult,normal,2025-12-28 08:17:23,,0,81y6fy
196,Které mořské zvíře je největší?,Velký bílý žralok,Kosatka,Velryba,2,,,adult,normal,2025-12-28 08:17:23,2025-12-29 08:05:01,1,-oymjvh
198,Kdy došlo k největšímu bankrotu v historii?,2008,2010,2012,0,,,adult,normal,2025-12-28 08:17:23,,0,tu0ova
199,Kdo přestoupil z klubu FC Barcelona do Paris Saint-Germain?,Lionel Messi,Cristiano Ronaldo,Neymar Jr.,2,,,adult,normal,2025-12-28 08:17:23,,0,i6s24i
200,Kdo první použil teorii relativity?,Albert Einstein,Marie Curie,Isaac Newton,0,,,adult,normal,2025-12-28 08:18:41,,0,ivbvup
202,Které město bylo hlavním městem Československa?,Bratislava,Praha,Budapešť,1,,,adult,normal,2025-12-28 08:18:41,,0,-2vmuvj
204,Která firma vynalezla první iPhone?,Samsung,Google,Apple,2,,,adult,normal,2025-12-28 08:18:41,,0,44g5iy
